Tekst,Encje
"Legia idzie jak burza w tej edycji Ligi Konferencji. Tylko stołeczni i Chelsea wygrali wszystkie spotkania fazy zasadniczej. Ale legioniści są jedynym zespołem w LK, który nie stracił żadnego gola. Jagiellonia Białystok została zatrzymana przez słoweńskie Celje. W tabeli rozgrywek sytuacja wygląda i tak znakomicie - Legia i Jagiellonia zajmują miejsca na podium, ustępują jedynie Chelsea. W rankingu UEFA nasz współczynnik jest coraz lepszy.","[('Legia', 'ORG', (0, 5)), ('Ligi Konferencji', 'ORG', (35, 51)), ('Chelsea', 'ORG', (71, 78)), ('LK', 'ORG', (162, 164)), ('Jagiellonia Białystok', 'ORG', (198, 219)), ('Celje', 'ORG', (256, 261)), ('Legia', 'ORG', (318, 323)), ('Jagiellonia', 'ORG', (326, 337)), ('Chelsea', 'ORG', (382, 389)), ('UEFA', 'ORG', (402, 406))]"
"Od poprzedniej rundy F1, rozegranej na słynnym torze Interlagos w stolicy Brazylii – Sao Paulo, minęły aż trzy tygodnie. W tamtejszym deszczowym wyścigu, pomimo startu dopiero z siedemnastego pola, po zwycięstwo sięgnął Max Verstappen. Dzięki temu już w ten weekend w Las Vegas, przy finiszu przed swoim głównym rywalem Lando Norrisem, Holender mógłby cieszyć się ze zdobycia kolejnego mistrzostwa.","[('F1', 'ORG', (21, 23)), ('Max Verstappen', 'PER', (220, 234)), ('Lando Norrisem', 'PER', (320, 334)), ('Brazylii', 'GPE', (74, 82)), ('Sao Paulo', 'GPE', (85, 94)), ('Las Vegas', 'GPE', (268, 277))]"
"Kilka dni temu Robert Lewandowski kolejny raz przeszedł do historii piłki nożnej. Jako trzeci piłkarz przekroczył granicę stu goli w Lidze Mistrzów. Mogłoby się wydawać, że napastnik Barcelony powinien znaleźć się na liście zawodników nominowanych przez FIFA do nagrody The Best przyznawanej najlepszemu piłkarzowi w roku. Tymczasem rzeczywistość okazała się zupełnie inna.","[('Robert Lewandowski', 'PER', (15, 33)), ('Lidze Mistrzów', 'ORG', (133, 147)), ('Barcelony', 'ORG', (183, 192)), ('FIFA', 'ORG', (254, 258)), ('The Best', 'ORG', (270, 278))]"
W czwartek Międzynarodowa Agencja ds. Integralności Tenisa (ITIA) poinformowała o pozytywnym teście antydopingowym Igi Świątek. W badaniu przeprowadzonym 12 sierpnia podczas turnieju w Cincinnati w organizmie ówczesnej liderki rankingu WTA wykryto trimetazydynę - na szczęście dla Świątek: o bardzo niskim stężeniu.,"[('ITIA', 'ORG', (60, 64)), ('Międzynarodowa Agencja ds. Integralności Tenisa', 'ORG', (11, 58)), ('Cincinnati', 'GPE', (185, 195)), ('WTA', 'ORG', (236, 239)), ('Świątek', 'PER', (281, 288)), ('Igi Świątek', 'PER', (115, 126)), ('12 sierpnia', 'DATE', (154, 165))]"
"Reprezentant Polski znajduje się w znakomitej formie na początku nowego sezonu NBA. Jeremy Sochan w każdym spotkaniu jest liderem San Antonio Spurs, jeżeli chodzi o zdobycze punktowe. Oddaje zdecydowanie więcej rzutów niż w poprzednim sezonie i czuje się jeszcze pewniej z piłką w rękach.","[('Polski', 'GPE', (13, 19)), ('NBA', 'ORG', (79, 82)), ('San Antonio Spurs', 'ORG', (130, 147)), ('Jeremy Sochan', 'PER', (84, 97))]"
"W ramach wspólnego patrolu, który ma być przeprowadzany ""zgodnie z rocznym planem współpracy"", Chiny i Rosja ponownie weszły w strefę obrony powietrznej Korei Południowej. Jak odpowiedział Seul?","[('Seul', 'GPE', (189, 193)), ('Chiny', 'GPE', (95, 100)), ('Rosja', 'GPE', (103, 108)), ('Korei Południowej', 'GPE', (153, 170))]"
"Kolejnym problemem Gladiatora 2 jest Paul Mescal. Pod tym względem też przypomina mi się Królestwo niebieskie, w którym największą wadą – nawet w arcydobrej wersji reżyserskiej – okazał się Orlando Bloom w głównej roli.","[('Paul Mescal', 'PER', (37, 48)), ('Orlando Bloom', 'PER', (190, 203)), ('Królestwo niebieskie', 'ORG', (89, 109)), ('Gladiatora 2', 'ORG', (19, 31))]"
Chiński statek Yi Peng został zatrzymany ponad tydzień temu przez duńskie służby i stoi od tego czasu w cieśninie Kattegat. W związku ze sprawą padły między innymi podejrzenia o sabotaż. Chiny odniosły się do incydentu.,"[('Yi Peng', 'ORG', (15, 22)), ('Kattegat', 'LOC', (114, 122)), ('Chiny', 'GPE', (187, 192))]"
"Własny komitet i rozdawanie pieniędzy: Większość środków trafiła do utworzonego przez Muska komitetu America PAC, który działał niezależnie od sztabu wyborczego Trumpa. Finansowano wysyłanie ulotek, reklamy i akwizycję wyborców. Z kolei organizacja Super PAC (również założona przez Elona Muska) prowadziła kampanię polegającą na przekazywaniu darowizn w wysokości miliona dolarów losowo wybranym zwolennikom Trumpa w siedmiu kluczowych stanach.","[('Musk', 'PER', (86, 91)), ('America PAC', 'ORG', (101, 112)), ('Trump', 'PER', (161, 167)),('Super PAC', 'ORG', (250, 258)),('Elon Musk', 'PER', (284, 294)),('Trump', 'PER', (410,415 ))]"
"W 2018 r. PGNiG zawarło kontrakt na dostawę LNG z USA do Polski. Wtedy tamtejsze władze spółki zapewniały, że ta umowa gazowa jest dla naszego kraju korzystna.","[('2018 r.', 'Date', (2, 9)),('PGNiG', 'ORG', (10, 15)), ('USA', 'GPE', (50, 53)), ('Polska', 'GPE', (57, 63))]"
"Piotr Żyła upadł i mimo zakrwawionej całej twarzy uciekał ratownikom medycznym, bo chciał skakać dalej. - Gdyby decydował sport, konkurs zacząłby się o innej godzinie - mówiła w rozmowie ze Sport.pl Agnieszka Baczkowska, szefowa zawodów. Pięć lat temu decyzją TVP skoki w Wiśle stały się mniej ważne niż finał dziecięcej Eurowizji w Gliwicach.","[('Piotr Żyła', 'PER', (0, 10)),('Agnieszka Baczkowska', 'PER', (199,219)), ('TVP', 'ORG', (260, 263)), ('Wisła', 'LOC', (272, 277)),('Eurowizja', 'ORG', (321, 330)),('Gliwice', 'GPE', (333,342 ))]"
"To bardzo mi przypomina Starbucks UK, gdzie Starbucks UK praktycznie nie ma zerowego zysku na papierze, ponieważ płaci to wszystko Starbucks US jako różne opłaty. To w zasadzie zalegalizowane korporacyjne pranie pieniędzy, ponieważ pieniądze tak naprawdę zmieniają ręce tylko na papierze.","[('Starbucks UK', 'ORG', (26, 48)), ('Starbucks UK', 'ORG', (46, 68)), ('Starbucks US', 'ORG', (133,145))]"
"Nie mam wiele do dodania, poza tym, że Twój podpis nie jest wymagany do przetworzenia opłaty. Podpisy są przechowywane w aktach, aby zachować ważność w przypadku zakwestionowania zarzutu. Twój podpis nie jest przechowywany w jakiejś magicznej bazie danych z oprogramowaniem do rozpoznawania podpisów. Jeśli narysujesz rekina w sekcji podpisu na paragonie, nie powstrzyma to przetworzenia opłaty. W rzeczywistości wielu handlowców nawet nie zadaje sobie trudu wymaganie podpisu poniżej pewnego progu. Istnieje wiele zakulisowych ulepszeń przetwarzania oferowanych przez układ EMV; mianowicie zapobieganie skimmingowi i duplikacji numeru karty poprzez szyfrowane podpisywanie transakcji. Chociaż wymaganie kodu PIN stanowi dodatkową warstwę bezpieczeństwa, proste przetwarzanie za pomocą chipa znacznie poprawia narzędzia do zapobiegania oszustwom w sieci w sposób, który jest prawie całkowicie przejrzysty dla użytkownika. Do twojego punktu, jeśli twój portfel zostanie zgubiony, a narzucający się trzyma twoją fizyczną kartę, nie ma poprawy w zakresie zwalczania oszustw. W każdym razie nie masz żadnej odpowiedzialności za oszustwa w USA.","[('EMV', 'ORG', (577, 580)),('USA', 'GPE', (1137,1140))]"
"Tak, więc oba te nie są prawdziwe. Cięcie funduszy na te rzeczy drastycznie zmienia ich zdolność do świadczenia usług, a Departament Energii, Departament Edukacji, EPA – wszystkie one świadczą pilnie potrzebne usługi. To nie tylko cięcia budżetowe. Zmiana polityki w celu zmniejszenia skuteczności, celowe zaniżanie personelu, eliminacja zdolności naukowców do przekazywania wyników opinii publicznej. Dostęp do danych rządowych stał się zauważalnie trudniejszy, odkąd ta administracja zaczęła demontować te organizacje","[('Departament Energii', 'ORG', (123, 142)), ('Departament Edukacji', 'ORG', (144, 164)), ('EPA', 'ORG', (166, 169))]"
"Myślę, że to było 99 lat, jeśli pamiętam. Ale masz rację we wszystkim innym. Jeśli dobrze pamiętam, to też tylko na miliard. Niewiele, jeśli wziąć pod uwagę, że Chicago jest trzecim co do wielkości miastem i to od stulecia. Kto by pomyślał, że to dobry pomysł, żeby sprzedać te prawa Nie mam pojęcia, ale zachowywali się jak bandyta","[('Chicago', 'GPE', (163, 170))]"
"I o to chodzi, niczego nie wygrałeś. Nie jesteś częścią zespołu. Masz po prostu pranie mózgu przez politykę, którą wybierasz, by się odizolować. Trump wygrał, nie ty, i wygrał przez przypadek i okłamując ludzi, którzy go głupio wspierali. Spodziewał się przegranej, a dzień przed i we wtorek przed wyborami jego kampania promowała narrację, że demokraci oszukiwali, aby wygrać. Wszyscy, kurwa, przegraliśmy. Przegrałeś gorzej niż ja, ponieważ nadal pokładasz nadzieję w kłamliwym szumowinie, który nie ma żadnych moralności, skrupułów ani poczucia przyzwoitości, a przyznanie się do tego monumentalnego pojebania jest zbyt bolesne.","[('Trump', 'PER', (147, 152))]"
"Nie mogę mówić konkretnie o systemie Tangerine, ale korzystałem z podobnych systemów za pośrednictwem Bank of America i Chase (oba z siedzibą w USA). Wygląda na to, że moje doświadczenie w zakresie weryfikacji tożsamości było bardzo podobne i teraz używam tego do regularnego płacenia kilku kontrahentom. Jak dotąd żadnych problemów.","[('Tangerine', 'ORG', (39, 48)), ('Bank of America', 'ORG', (104, 119)), ('Chase', 'ORG', (122, 127)), ('USA', 'GPE', (146, 149))]"
"Dobrze dla ciebie. Właśnie widziałem dzisiaj mojego kuzyna, jego łożyska wędzisk Kia Optima 2012 po prostu zawiodły przy 112000 mikrofonów. Dostał regenerowany silnik i większą gwarancję. Z mojego doświadczenia wynika, że ​​Toyota jest warta każdego grosza. Hyundai/Kia naprawił swój samochód.","[('Kia', 'ORG', (83, 86)), ('2012', 'date', (94, 98)), ('Toyota', 'ORG', (226, 232)), ('Hyundai', 'ORG', (260, 267)), ('Kia', 'ORG', (268, 271))]"
"Tak, ale Amerykanie wiedzą, jak odpowiedzieć na moją odpowiedź, Hindusi po prostu powtarzają to, co powiedziałeś, bo cię nie rozumieją. Tego lata musiałem zadzwonić do firmy Pfizer po informacje o produkcie, a pierwszy telefon dostałem od Hindusa, który nie miał pieprzonego pojęcia, o co pytam. Potem, kiedy zadzwoniłem następnego dnia, dostałem wyraźnie mówiącego po angielsku Amerykanina, który pomógł mi dość szybko.","[('Pfizer', 'ORG', (176, 182))]"
"Używam Yahoo Finance do kreślenia wartości mojego portfela w czasie. Yahoo Finance używa SigFig do łączenia kont (połączyłem się z Fidelity), co pozwala ci zobaczyć dokładny portfel i zobaczyć wykres jego historycznej wartości. Nie jestem pewien, z jakimi innymi witrynami SigFig umożliwią synchronizację, ale warto spróbować. Oto jak wygląda fabuła, którą mam, chociaż jest nieco przestarzała, ale nadal daje wyobrażenie, czego się spodziewać.","[('Yahoo Finance', 'ORG', (9, 22)), ('Yahoo Finance', 'ORG', (71, 84)), ('SigFig', 'ORG', (91, 97)), ('Fidelity', 'ORG', (133, 141)), ('SigFig', 'ORG', (275, 281))]"
"„Kursy online w jednym źródle, chociaż zawsze uważałem, że czytanie ukierunkowanych książek jest o wiele bardziej efektywne, jeśli chodzi o biznes. Moja najlepsza rada dotycząca zakładania firm to nauczenie się, jak myśleć jak ci, którzy założyli najbardziej szalone/największe/najlepsze firmy Zawsze czerpałem więcej korzyści z czytania biografii Steve’a Jobsa, autobiografii Sama Waltona, biografii Johna Rockefellera „Tytan”, biografii Warrena Buffetta „Snowball”, książek Howarda Schulza o Starbucksach itp. kurs biznesowy, który ukończyłem. Te również znacznie przewyższają twoje książki „Załóż firmę z tymi krokami”. Chociaż niektóre z nich też musisz przeczytać. Zachęcam do wybrania kilku biznesowych bohaterów i uczenia się od nich. Elon Musk jest mój dzisiaj. Sprawdź jego historię życia. Aby uzyskać bardziej ukierunkowane umiejętności, takie jak nauka rachunkowości lub umiejętności zarządzania, amazon jest dość łatwy w nawigacji. **tl;dr: Naucz się myśleć jak wielcy, zanim nauczysz się umiejętności, których potrzebujesz** ""","[('Steve’a Jobsa', 'PER', (350, 363)), ('Sama Waltona', 'PER', (379, 371)), ('Johna Rockefellera', 'PER', (403, 421)), ('Warrena Buffetta', 'PER', (441, 457)), ('Howarda Schulza', 'PER', (478, 493)), ('Starbucksach', 'ORG', (496, 508))]"
"„Głównym zadaniem Wells Fargo Shareowner Services jest pełnienie funkcji agenta transferowego i agenta ds. wypłaty dywidendy. posiada ile akcji Acme. (Ponadto oczywiście wypłacają dywidendy). Możesz zobaczyć, jak się zaangażowali: to oni byli w stanie """"zmienić nazwę"""" akcji twojego zmarłego krewnego, więc są teraz na twoje nazwisko, nikt inny nie może tego zrobić. Teraz jednak nie muszą zatrzymywać Twoich akcji, możesz je przenieść w inne miejsce, jeśli chcesz. Będziesz musiał legalnie udowodnić swoją tożsamość, co w większości przypadków nie jest trudne (zakładając jesteś w USA, masz wydany przez rząd dokument tożsamości i konto bankowe oraz trochę czasu na załatwienie formalności).""","[('Wells Fargo Shareowner Services', 'ORG', (20, 51)), ('Acme', 'ORG', (146, 150)), ('USA', 'GPE', (589, 592))]"
"http://www.vistageconnect.com — guru marketingu David Avrin wyjaśnia, w jaki sposób prawdziwie kreatywne, skuteczne przekazy marketingowe pochodzą bezpośrednio z umiejętności firmy do efektywnej komunikacji w ramach własnego zespołu. Avrin opisuje również najlepsze praktyki w budowaniu unikalnego środowiska, które umożliwia kreatywne style komunikacji.","[('David Avrin', 'PER', (50, 61))]"
"Dla większości Amerykanów data na czeku określa rok podatkowy. Czek z datą X stycznia 2016 r. zostanie odzwierciedlony na zeznaniach podatkowych, które złożysz na początku 2017 r. Oznacza to również, że pieniądze 401 tys. . Zmiana roku wpływa na każdego inaczej. Ta ostatnia/pierwsza kontrola może mieć duże znaczenie dla niektórych osób. Jeśli próbujesz upewnić się, że wpłacisz maksymalną kwotę pieniędzy na jedno z tych kont, ważna jest wiedza o tym, ile czeków płacowych jest w ciągu roku. Działa to również w drugą stronę, otrzymanie dodatkowego czeku może spowodować nadmierną wpłatę na te konta. Podatki za tę wypłatę ze stycznia 2016 są pobierane przez Twojego pracodawcę i okresowo wysyłane do odpowiedniego urzędu państwowego. Płacisz te podatki w dniu wypłaty, mimo że nie złożysz tych dokumentów do 2017 r.","[('X stycznia 2016 r.', 'date', (7, 95)), ('2017 r.', 'date', (174, 181)), ('stycznia 2016', 'date', (630, 643)), ('2017 r.', 'date', (813, 820))]"
"„Jako konsument, wydaje mi się, że „yay”” jest w porządku, ale w tym przypadku muszę stanąć po stronie sprzedawców z rynku – to po prostu zły interes narzucanie tej polityki sprzedawcom. Nie każdy ma możliwość zjedzenia zwrotu strat, które robi Amazon”.","[('Amazon', 'ORG', (247, 253))]"
"Będziesz musiał płacić podatki w Wielkiej Brytanii, a nie w USA. Dla celów podatkowych jest to siedziba podatkowa firmy, a nie miejsce, w którym znajduje się serwer. Po prostu zatrudniasz serwer w USA. Weźmy na przykład CDN używany do tej samej usługi, czy płaciłbyś podatki w 300 różnych krajach, jeśli korzystasz z Akamai? Nie działa w ten sposób.","[('Wielkiej Brytanii', 'GPE', (35, 52)), ('USA', 'GPE', (62, 65)), ('USA', 'GPE', (199, 202)), ('Akamai', 'ORG', (319, 325))]"
"Każdy z Saudyjczyków nie ma tak wielu własności, ponieważ technicznie posiadają większość rzeczy razem, a jest ich tak wielu. W rzeczywistości większość bogactwa jest w rzeczywistości kontrolowana przez znacznie mniejszą klikę, z których każda prawdopodobnie znalazłaby się dość wysoko na liście Forbesa, gdyby ich bogactwo było publiczne.","[('Forbesa', 'ORG', (298, 305))]"
"Szukasz hydraulika awaryjnego Portland? Następnie odwiedź hydraulikę Portland Serv, z zespołem ekspertów z wieloletnim doświadczeniem, jesteśmy jedną z najlepszych firm świadczących usługi hydrauliczne w Portland. Odwiedź nas już teraz, aby dowiedzieć się więcej o naszej usłudze.","[('Portland', 'GPE', (32, 40)), ('Portland Serv', 'ORG', (71, 84)), ('Portland', 'GPE', (206, 214))]"
"Celem rządu jest sprowadzenie wszystkich nielegalnych transakcji finansowych, które zostały usunięte lub dezaktywowane ponad 11,44 lakh stałych numerów kont (PAN) na dzień 27 lipca w przypadkach, gdy znaleziono wiele numerów przydzielonych jednej osobie.","[('27 lipca', 'date', (174, 182))]"
"Im bliżej wpłaty do dnia 31 grudnia, tym bardziej opłacalna jest konkretna wpłata, biorąc pod uwagę jedynie 5% rabatu. W twoim przypadku pierwszą składką, która przewyższa oprocentowanie kredytów studenckich, jest ta z sierpnia, gdzie otrzymujesz około 9% rocznego zwrotu, pozostałe składki idą stamtąd.","[('31 grudnia', 'date', (27, 37))]"
"Zwycięstwo Donalda Trumpa w wyborach prezydenckich w USA sprawiło, że pojawiły się nowe potencjalne scenariusze zakończenia wojny Rosji w Ukrainie. Główne propozycje i wyzwania są jednak na tyle zróżnicowane, że przed światem długa i wyboista droga, by zapewnić trwały pokój. Tym bardziej że republikanina nie interesuje to, co dla Kijowa jest kluczowe.","[('Donald Trump', 'PER', (11, 25)),('USA', 'GPE', (53,56)), ('Rosja', 'GPE', (130, 135)), ('Ukraina', 'LOC', (272, 277)),('Kijów', 'GPE', (332, 338))]"
"Amerykański urzędnik przekazał informacje na temat nalotów przeprowadzonych przez armię USA w środkowej części Syrii. Były one wymierzone w ""przywódców, agentów i obozy ISIS"". Amerykanie użyli do tego bombowców B-52, myśliwców F-15 i samolotów A-10 — podaje CNN.","[('Ameryka', 'LOC', (0, 11)),('USA', 'GPE', (88,91)), ('Syria', 'GPE', (111, 116)), ('ISIS', 'ORG', (169, 173)),('Ameryka', 'LOC', (176, 186)),('CNN', 'ORG', (258, 261)) ]"
Prezydent Korei Południowej Jun Suk Jeol otrzymał zakaz opuszczania kraju w związku z nieudaną próbą wprowadzenia stanu wojennego — podaje Reuters. O zakazie zagranicznych podróży poinformował w parlamencie koreański minister sprawiedliwości.,"[('Korea Południowa', 'GPE', (10, 27)),('Jun Suk Jeol', 'PER', (28,40)), ('Reuters', 'ORG', (140, 146)), ('Korea', 'GPE', (207, 216))]"
"W poniedziałek (9 grudnia) o godz. 12 odbędzie się konferencja prasowa prezesa PiS Jarosława Kaczyńskiego, przewodniczącego KP PiS Mariusza Błaszczaka i rzecznika PiS Rafała Bochenka. Oglądaj na kanałach Onetu.","[('poniedziałek 9 grudzień', 'date', (2, 26)),('godz. 12', 'time', (29,37)), ('PiS', 'ORG', (79, 82)), ('Jarosław Kaczyński', 'PER', (83, 105)),('KP PiS', 'ORG', (124, 130)),('Mariusz Błaszczak', 'PER', (131, 150)),('PiS', 'ORG', (163, 166)),('Rafał Bochenek', 'PER', (167, 182)),('Onet', 'ORG', (204, 209))]"
"Wolfgang Fink jest szefem niemieckiego oddziału Goldman Sachs, najbardziej znanego banku inwestycyjnego na świecie. Jest tam szczególnie blisko międzynarodowych inwestorów. W tym wywiadzie wyjaśnia, czy naprawdę desperacko spoglądają na Niemcy i w których sektorach pokłada największe nadzieje.","[('Wolfgang Fink', 'PER', (0, 13)),('Niemcy', 'GPE', (26,38)), ('Goldman Sachs', 'ORG', (48, 61)), ('Jarosław Kaczyński', 'PER', (83, 105)), ('Niemcy', 'GPE', (237, 243))]"
"My sobie wyobrażamy, że to było jeden do jeden: wysiedlamy Niemców i przychodzą ludzie z Kresów. To nie do końca tak. Grupa osadników była bardzo zróżnicowana – podkreśla w Radiu Naukowym dr Karolina Ćwiek-Rogalska, kulturolożka i etnolożka z Instytutu Slawistyki Polskiej Akademii Nauk.","[('Niemcy', 'GPE', (59, 66)),('Kresy', 'LOC', (89,95)), ('Radio Naukowe', 'ORG', (173, 187)), ('Karolina Ćwiek-Rogalska', 'PER', (191, 214)),('Instytut Slawistyki Polskiej Akademii Nauk', 'ORG', (243, 286))]"
"Na madryckim lotnisku Barajas rozpoczął się we wtorek kilkudniowy strajk, który może doprowadzić do odwołania do dwóch tysięcy lotów - poinformował portal dziennika ekonomicznego ""Cinco Dias"". Uczestniczący w strajku pracownicy domagają się między innymi poprawy warunków zatrudnienia.","[('Barajas', 'GPE', (23, 30)),('wtorek', 'DATE', (48, 54)), ('Cinco Dias', 'ORG', (181, 191))]"
"Turecki wywiad przeprowadziły atak, niszcząc 12 ciężarówek z ciężką bronią i pociskami oraz dwa czołgi i amunicję, transportowane w północno-wschodniej Syrii przez kurdyjską milicję Ludowe Jednostki Samoobrony (YPG) - przekazały we wtorek służby specjalne Turcji.","[('Syrii', 'GPE', (153, 158)), ('Ludowe Jednostki Samoobrony', 'ORG', (183, 210)), ('YPG', 'ORG', (212, 215)), ('Turcji', 'GPE', (257, 263))]"
"W Malibu niedaleko Los Angeles szaleje pożar, który od poniedziałkowego wieczoru strawił już blisko 900 hektarów terenu. Do walki z żywiołem kierowani są kolejni strażacy. Ogień zagraża domom, a także lokalnemu uniwersytetowi, dlatego też władze nakazały ewakuacje kilku tysiącom osób.","[('Malibu', 'GPE', (3, 9)), ('Los Angeles', 'ORG', (20, 31))]"
